Date,Price,Open,High,Low,Vol.,Change %
"Jan 01, 2021",29359.90,28951.70,29627.10,28712.40,100.90K,1.42%
"Jan 02, 2021",32193.30,29359.70,33233.50,29008.00,240.87K,9.65%
"Jan 03, 2021",32958.90,32192.90,34755.90,32029.60,155.21K,2.38%
"Jan 04, 2021",32022.60,33016.60,33587.50,28204.50,255.27K,-2.84%
"Jan 05, 2021",33991.50,32015.40,34414.70,30010.50,202.13K,6.15%
"Jan 06, 2021",36793.20,33999.30,36934.80,33408.30,227.56K,8.24%
"Jan 07, 2021",39460.20,36798.50,40340.90,36361.20,249.60K,7.25%
"Jan 08, 2021",40599.30,39466.40,41921.70,36613.40,251.29K,2.89%
"Jan 09, 2021",40151.90,40607.20,41363.50,38775.10,128.42K,-1.10%
"Jan 10, 2021",38192.20,40149.70,41362.40,35141.60,215.78K,-4.88%
"Jan 11, 2021",35544.30,38195.30,38217.20,30411.60,251.04K,-6.93%
"Jan 12, 2021",34076.10,35426.00,36598.70,32572.70,241.93K,-4.13%
"Jan 13, 2021",37382.20,34061.20,37764.60,32451.90,209.93K,9.70%
"Jan 14, 2021",39175.70,37383.40,40054.30,36772.10,172.40K,4.80%
"Jan 15, 2021",36845.80,39175.70,39715.00,34488.70,118.42K,-5.95%
"Jan 16, 2021",36019.50,36751.80,37931.70,35408.40,137.02K,-2.24%
"Jan 17, 2021",35839.60,36020.10,36801.30,33883.50,126.82K,-0.50%
"Jan 18, 2021",36613.20,35838.20,37436.80,34801.00,111.52K,2.16%
"Jan 19, 2021",36002.90,36630.60,37821.00,36001.40,79.11K,-1.67%
"Jan 20, 2021",35476.30,35862.10,36384.40,33444.50,153.61K,-1.46%
"Jan 21, 2021",30842.10,35472.30,35591.10,30101.80,253.27K,-13.06%
"Jan 22, 2021",33000.50,30838.70,33821.20,28871.20,243.09K,7.00%
"Jan 23, 2021",32088.90,32994.10,33441.40,31418.20,100.70K,-2.76%
"Jan 24, 2021",32241.30,32088.50,33034.80,30982.90,88.21K,0.47%
"Jan 25, 2021",32252.30,32244.30,34854.30,31967.40,142.43K,0.03%
"Jan 26, 2021",32502.10,32244.10,32917.70,30850.00,139.84K,0.77%
"Jan 27, 2021",30404.00,32499.60,32545.40,29290.40,194.35K,-6.46%
"Jan 28, 2021",33374.80,30408.90,33790.80,29911.90,167.39K,9.77%
"Jan 29, 2021",34301.80,33381.70,38546.00,31953.30,297.73K,2.78%
"Jan 30, 2021",34283.10,34300.00,34920.90,32908.50,128.57K,-0.05%
"Jan 31, 2021",33108.10,34281.60,34348.30,32189.90,101.92K,-3.43%
"Feb 01, 2021",33515.70,33106.80,34685.60,32324.90,126.32K,1.23%
"Feb 02, 2021",35485.20,33514.00,35976.10,33462.40,120.85K,5.88%
"Feb 03, 2021",37646.80,35486.90,37646.80,35401.50,131.03K,6.09%
"Feb 04, 2021",36982.10,37648.90,38707.90,36380.80,151.44K,-1.77%
"Feb 05, 2021",38297.60,36976.40,38303.60,36640.00,100.60K,3.56%
"Feb 06, 2021",39256.60,38300.60,40939.70,38275.30,156.02K,2.50%
"Feb 07, 2021",38852.90,39228.90,39691.70,37381.60,125.37K,-1.03%
"Feb 08, 2021",46395.70,38853.60,46596.40,38057.00,248.47K,19.41%
"Feb 09, 2021",46508.60,46396.40,48143.50,45104.70,193.87K,0.24%
"Feb 10, 2021",44836.00,46507.80,47295.30,43800.50,151.83K,-3.60%
"Feb 11, 2021",47990.70,44834.80,48622.10,44041.10,145.77K,7.04%
"Feb 12, 2021",47371.70,47995.00,48927.40,46218.60,133.73K,-1.29%
