,Date,Price,Open,High,Low,Vol.,Change %,realbody,range,bullish_pinbar,bearish_three-line_strike,bullish_pinbar_success,bearish_three-line_strike_success
0,"Jan 01, 2021",29359.9,28951.7,29627.1,28712.4,100.90K,1.42%,-408.2000000000007,914.6999999999971,,,,
1,"Jan 02, 2021",32193.3,29359.7,33233.5,29008.0,240.87K,9.65%,-2833.5999999999985,4225.5,,,,
2,"Jan 03, 2021",32958.9,32192.9,34755.9,32029.6,155.21K,2.38%,-766.0,2726.300000000003,,,,
3,"Jan 04, 2021",32022.6,33016.6,33587.5,28204.5,255.27K,-2.84%,994.0,5383.0,False,False,,
4,"Jan 05, 2021",33991.5,32015.4,34414.7,30010.5,202.13K,6.15%,-1976.0999999999985,4404.199999999997,True,False,True,
5,"Jan 06, 2021",36793.2,33999.3,36934.8,33408.3,227.56K,8.24%,-2793.899999999994,3526.5,False,False,,
6,"Jan 07, 2021",39460.2,36798.5,40340.9,36361.2,249.60K,7.25%,-2661.699999999997,3979.7000000000044,False,False,,
7,"Jan 08, 2021",40599.3,39466.4,41921.7,36613.4,251.29K,2.89%,-1132.9000000000015,5308.299999999996,False,False,,
8,"Jan 09, 2021",40151.9,40607.2,41363.5,38775.1,128.42K,-1.10%,455.29999999999563,2588.4000000000015,False,False,,
9,"Jan 10, 2021",38192.2,40149.7,41362.4,35141.6,215.78K,-4.88%,1957.5,6220.800000000003,False,False,,
10,"Jan 11, 2021",35544.3,38195.3,38217.2,30411.6,251.04K,-6.93%,2651.0,7805.5999999999985,False,False,,
11,"Jan 12, 2021",34076.1,35426.0,36598.7,32572.7,241.93K,-4.13%,1349.9000000000015,4025.9999999999964,False,False,,
12,"Jan 13, 2021",37382.2,34061.2,37764.6,32451.9,209.93K,9.70%,-3321.0,5312.699999999997,False,False,,
13,"Jan 14, 2021",39175.7,37383.4,40054.3,36772.1,172.40K,4.80%,-1792.2999999999956,3282.2000000000044,False,False,,
14,"Jan 15, 2021",36845.8,39175.7,39715.0,34488.7,118.42K,-5.95%,2329.899999999994,5226.300000000003,False,False,,
15,"Jan 16, 2021",36019.5,36751.8,37931.7,35408.4,137.02K,-2.24%,732.3000000000029,2523.2999999999956,False,False,,
16,"Jan 17, 2021",35839.6,36020.1,36801.3,33883.5,126.82K,-0.50%,180.5,2917.800000000003,False,False,,
17,"Jan 18, 2021",36613.2,35838.2,37436.8,34801.0,111.52K,2.16%,-775.0,2635.800000000003,True,False,False,
18,"Jan 19, 2021",36002.9,36630.6,37821.0,36001.4,79.11K,-1.67%,627.6999999999971,1819.5999999999985,False,False,,
19,"Jan 20, 2021",35476.3,35862.1,36384.4,33444.5,153.61K,-1.46%,385.79999999999563,2939.9000000000015,False,False,,
20,"Jan 21, 2021",30842.1,35472.3,35591.1,30101.8,253.27K,-13.06%,4630.200000000004,5489.299999999999,False,False,,
21,"Jan 22, 2021",33000.5,30838.7,33821.2,28871.2,243.09K,7.00%,-2161.7999999999993,4949.999999999996,False,False,,
22,"Jan 23, 2021",32088.9,32994.1,33441.4,31418.2,100.70K,-2.76%,905.1999999999971,2023.2000000000007,False,False,,
23,"Jan 24, 2021",32241.3,32088.5,33034.8,30982.9,88.21K,0.47%,-152.79999999999927,2051.9000000000015,False,False,,
24,"Jan 25, 2021",32252.3,32244.3,34854.3,31967.4,142.43K,0.03%,-8.0,2886.9000000000015,False,False,,
25,"Jan 26, 2021",32502.1,32244.1,32917.7,30850.0,139.84K,0.77%,-258.0,2067.699999999997,False,False,,
26,"Jan 27, 2021",30404.0,32499.6,32545.4,29290.4,194.35K,-6.46%,2095.5999999999985,3255.0,False,False,,
27,"Jan 28, 2021",33374.8,30408.9,33790.8,29911.9,167.39K,9.77%,-2965.9000000000015,3878.9000000000015,False,False,,
28,"Jan 29, 2021",34301.8,33381.7,38546.0,31953.3,297.73K,2.78%,-920.1000000000058,6592.700000000001,False,False,,
29,"Jan 30, 2021",34283.1,34300.0,34920.9,32908.5,128.57K,-0.05%,16.900000000001455,2012.4000000000015,False,False,,
30,"Jan 31, 2021",33108.1,34281.6,34348.3,32189.9,101.92K,-3.43%,1173.5,2158.4000000000015,False,False,,
31,"Feb 01, 2021",33515.7,33106.8,34685.6,32324.9,126.32K,1.23%,-408.8999999999942,2360.699999999997,False,False,,
32,"Feb 02, 2021",35485.2,33514.0,35976.1,33462.4,120.85K,5.88%,-1971.199999999997,2513.699999999997,False,False,,
33,"Feb 03, 2021",37646.8,35486.9,37646.8,35401.5,131.03K,6.09%,-2159.9000000000015,2245.300000000003,False,False,,
34,"Feb 04, 2021",36982.1,37648.9,38707.9,36380.8,151.44K,-1.77%,666.8000000000029,2327.0999999999985,False,False,,
35,"Feb 05, 2021",38297.6,36976.4,38303.6,36640.0,100.60K,3.56%,-1321.199999999997,1663.5999999999985,False,False,,
36,"Feb 06, 2021",39256.6,38300.6,40939.7,38275.3,156.02K,2.50%,-956.0,2664.399999999994,False,False,,
37,"Feb 07, 2021",38852.9,39228.9,39691.7,37381.6,125.37K,-1.03%,376.0,2310.0999999999985,False,False,,
38,"Feb 08, 2021",46395.7,38853.6,46596.4,38057.0,248.47K,19.41%,-7542.0999999999985,8539.400000000001,False,False,,
39,"Feb 09, 2021",46508.6,46396.4,48143.5,45104.7,193.87K,0.24%,-112.19999999999709,3038.800000000003,False,False,,
